"","Compound","Matrix","n","u_ref","av_bias","sd_bias","UoB","Significance"
"125","Captan (raw)","Spinach",14,0.356348322549899,-100,0,0.356348322549899,"Significant"
"126","Captan (raw)","Strawberries",21,0.290957186981323,-5.22603174603174,15.025079168549,15.0278960638481,"Insignificant"
"127","Chlordane-cis","Apple",21,0.290957186981323,-1.32825396825396,5.89988847531579,5.90705849859472,"Insignificant"
"128","Chlordane-cis","Avocado",18,0.314269680527355,-10.7888888888889,10.4392093958526,10.4439388279785,"Insignificant"
"129","Chlordane-cis","Carrot",19,0.305887645160749,1.54526315789474,5.29992107043365,5.30874096225164,"Insignificant"
"130","Chlordane-cis","Onion",18,0.314269680527355,3.80370370370371,3.42758911992353,3.4419663866919,"Insignificant"
"131","Chlordane-cis","Orange",21,0.290957186981323,-0.847619047619042,8.96029421285665,8.96501692500402,"Insignificant"
"132","Chlordane-cis","Spinach",14,0.356348322549899,-1.15333333333333,10.3998405641954,10.4059438729828,"Insignificant"
"133","Chlordane-cis","Strawberries",21,0.290957186981323,5.10158730158731,7.27634520736335,7.28216009583528,"Insignificant"
"134","Chlordane-trans","Apple",20,0.298142396999972,1.398,4.71678208277362,4.72619530968232,"Insignificant"
"135","Chlordane-trans","Avocado",20,0.298142396999972,5.71933333333334,9.12104895475776,9.12592038777331,"Insignificant"
"136","Chlordane-trans","Carrot",21,0.290957186981323,4.48126984126985,7.9952362536277,8.00052865978111,"Insignificant"
"137","Chlordane-trans","Onion",21,0.290957186981323,3.92,4.66559987806737,4.67466344316661,"Insignificant"
"138","Chlordane-trans","Orange",21,0.290957186981323,3.74603174603175,7.12266925769387,7.12860950250141,"Insignificant"
"139","Chlordane-trans","Spinach",14,0.356348322549899,6.40380952380953,8.76201971576129,8.76926300360376,"Insignificant"
"140","Chlordane-trans","Strawberries",20,0.298142396999972,3.37,9.38589497924431,9.39062902314283,"Insignificant"
"141","Chlorfenapyr","Apple",21,0.290957186981323,-3.43301587301587,13.9385442371051,13.9415806684318,"Insignificant"
"142","Chlorfenapyr","Avocado",20,0.298142396999972,-6.19,15.6910671499453,15.6938993622676,"Insignificant"
"143","Chlorfenapyr","Carrot",21,0.290957186981323,0.8552380952381,13.6273152394344,13.6304210030203,"Insignificant"
"144","Chlorfenapyr","Onion",21,0.290957186981323,0.404444444444447,11.7948428152747,11.7984309601613,"Insignificant"
"145","Chlorfenapyr","Orange",21,0.290957186981323,0.124444444444448,14.1109951351315,14.1139944660737,"Insignificant"
"146","Chlorfenapyr","Spinach",11,0.402015126103685,-3.96121212121212,8.21398364210249,8.22381562502124,"Insignificant"
"147","Chlorfenapyr","Strawberries",21,0.290957186981323,-0.34412698412698,10.8368971525146,10.8408023678525,"Insignificant"
"148","Chlorothalonil","Apple",16,0.333333333333333,5.38583333333334,7.93905745874996,7.94605212948194,"Insignificant"
"149","Chlorothalonil","Avocado",21,0.290957186981323,-20.6323809523809,36.7579437392315,36.7590952557481,"Insignificant"
"150","Chlorothalonil","Carrot",21,0.290957186981323,-4.27174603174603,13.5284782596257,13.5316067082154,"Insignificant"
"151","Chlorothalonil","Onion",21,0.290957186981323,-100,0,0.290957186981323,"Significant"
"152","Chlorothalonil","Orange",21,0.290957186981323,-7.98031746031746,20.8149081697807,20.8169416149697,"Insignificant"
"153","Chlorothalonil","Spinach",14,0.356348322549899,-9.13904761904762,14.3177037879068,14.322137615776,"Insignificant"
"154","Chlorothalonil","Strawberries",21,0.290957186981323,-1.43619047619047,13.6380677307517,13.6411710462565,"Insignificant"
"155","Chlorpyrifos","Apple",21,0.290957186981323,3.17904761904762,6.69001587299704,6.69633993055971,"Insignificant"
"156","Chlorpyrifos","Avocado",21,0.290957186981323,4.04126984126985,6.959317852602,6.96539740849013,"Insignificant"
"157","Chlorpyrifos","Carrot",16,0.333333333333333,2.51833333333334,2.47061006111326,2.49299522365872,"Insignificant"
"158","Chlorpyrifos","Onion",21,0.290957186981323,0.081269841269845,4.63230569853244,4.64143427932705,"Insignificant"
"159","Chlorpyrifos","Orange",21,0.290957186981323,1.97269841269842,6.7339570353914,6.74023986510521,"Insignificant"
"160","Chlorpyrifos","Spinach",14,0.356348322549899,4.76666666666667,4.57549847828478,4.58935403425912,"Insignificant"
"161","Chlorpyrifos","Strawberries",19,0.305887645160749,0.253333333333338,4.24625673932892,4.25726009867359,"Insignificant"
"162","Chlorpyrifos-methyl","Apple",21,0.290957186981323,2.13587301587302,7.08659155688967,7.09256201797601,"Insignificant"
"163","Chlorpyrifos-methyl","Avocado",21,0.290957186981323,5.20063492063492,9.54336858877221,9.54780289416472,"Insignificant"
"164","Chlorpyrifos-methyl","Carrot",19,0.305887645160749,-1.57122807017544,3.55143445380344,3.56458327594182,"Insignificant"
"165","Chlorpyrifos-methyl","Onion",19,0.305887645160749,-0.329122807017539,3.15336403596855,3.16816539890231,"Insignificant"
"166","Chlorpyrifos-methyl","Orange",20,0.298142396999972,-0.675333333333332,4.22457588445382,4.23508326864982,"Insignificant"
"167","Chlorpyrifos-methyl","Spinach",14,0.356348322549899,-1.24571428571428,5.99993325156197,6.0105060643995,"Insignificant"
"168","Chlorpyrifos-methyl","Strawberries",21,0.290957186981323,-2.23301587301587,5.92811848591682,5.93525440631864,"Insignificant"
"169","Chlorthal-dimethyl","Apple",21,0.290957186981323,0.370793650793655,6.69420528058592,6.70052538412328,"Insignificant"
"170","Chlorthal-dimethyl","Avocado",19,0.305887645160749,0.348771929824567,5.70562341304734,5.71381709393781,"Insignificant"
"171","Chlorthal-dimethyl","Carrot",18,0.314269680527355,1.74,3.06655157499291,3.08261317621758,"Insignificant"
"172","Chlorthal-dimethyl","Onion",21,0.290957186981323,1.70285714285715,5.87893435975851,5.88612990775818,"Insignificant"
"173","Chlorthal-dimethyl","Orange",20,0.298142396999972,0.0153333333333357,4.25141853175664,4.26185973737436,"Insignificant"
"174","Chlorthal-dimethyl","Spinach",13,0.369800130816819,1.4697435897436,4.10472231693513,4.12134655615097,"Insignificant"
"175","Chlorthal-dimethyl","Strawberries",17,0.323380833381777,-0.66039215686274,2.86441429982567,2.88261069942586,"Insignificant"
"176","Cyfluthrin","Apple",21,0.290957186981323,-0.727619047619043,4.39040685824815,4.40003732547901,"Insignificant"
"177","Cyfluthrin","Avocado",21,0.290957186981323,-13.8780952380952,11.6739743099973,11.6775995938862,"Insignificant"
"178","Cyfluthrin","Carrot",21,0.290957186981323,2.3936507936508,4.65897770197639,4.66805412481146,"Insignificant"
"179","Cyfluthrin","Onion",19,0.305887645160749,1.50736842105264,2.56647512006455,2.58463958674557,"Insignificant"
"180","Cyfluthrin","Orange",18,0.314269680527355,1.10666666666667,3.16495185768092,3.18051657652286,"Insignificant"
"181","Cyfluthrin","Spinach",13,0.369800130816819,1.04717948717949,5.16461928003336,5.17784167819415,"Insignificant"
"182","Cyfluthrin","Strawberries",20,0.298142396999972,-1.86733333333333,4.35712760149075,4.36731608938046,"Insignificant"
"183","Cyhalothrin","Apple",21,0.290957186981323,-3.23047619047619,5.55940227459695,5.56701084384158,"Insignificant"
"184","Cyhalothrin","Avocado",21,0.290957186981323,-10.1847619047619,12.7343240701582,12.7376475696443,"Insignificant"
"185","Cyhalothrin","Carrot",21,0.290957186981323,0.266666666666669,4.37406904380806,4.38373540313008,"Insignificant"
"186","Cyhalothrin","Onion",15,0.344265186329548,-1.46577777777778,2.11337369146783,2.14123022543277,"Insignificant"
"187","Cyhalothrin","Orange",20,0.298142396999972,-0.52933333333333,5.23315404766091,5.24164002726614,"Insignificant"
"188","Cyhalothrin","Spinach",13,0.369800130816819,3.61230769230769,4.16315927592197,4.17955108755083,"Insignificant"
"189","Cyhalothrin","Strawberries",21,0.290957186981323,-0.664761904761901,3.50453239414152,3.51658973811893,"Insignificant"
"190","Cypermethrin","Apple",21,0.290957186981323,0.808888888888893,3.54384181571565,3.55576586679592,"Insignificant"
"191","Cypermethrin","Avocado",20,0.298142396999972,-10.5566666666667,9.10324394336424,9.10812489930208,"Insignificant"
"192","Cypermethrin","Carrot",13,0.369800130816819,1.70153846153847,1.16240540466153,1.21981083022675,"Insignificant"
"193","Cypermethrin","Onion",20,0.298142396999972,1.36,3.68039916472329,3.69245540265347,"Insignificant"
"194","Cypermethrin","Orange",21,0.290957186981323,4.42412698412699,6.46256724914608,6.46911365910289,"Insignificant"
"195","Cypermethrin","Spinach",13,0.369800130816819,3.47794871794872,3.93570115605131,3.95303626678225,"Insignificant"
"196","Cypermethrin","Strawberries",18,0.314269680527355,-1.79037037037037,3.49566994315664,3.50976833759545,"Insignificant"
"197","Cyproconazole","Apple",20,0.298142396999972,-3.732,3.30489737611725,3.31831818178359,"Insignificant"
"198","Cyproconazole","Avocado",21,0.290957186981323,-2.97269841269841,4.95495527718887,4.96349049395663,"Insignificant"
"199","Cyproconazole","Carrot",21,0.290957186981323,-0.119365079365076,4.11565353512222,4.12592536357847,"Insignificant"
"200","Cyproconazole","Onion",21,0.290957186981323,-0.645714285714281,4.4855809908413,4.49500755394837,"Insignificant"
"201","Cyproconazole","Orange",20,0.298142396999972,0.495333333333337,3.88073249250223,3.89216823470562,"Insignificant"
"202","Cyproconazole","Spinach",13,0.369800130816819,3.54461538461539,3.40992384471862,3.42991731147163,"Insignificant"
"203","Cyproconazole","Strawberries",21,0.290957186981323,-0.730158730158725,5.01622594699668,5.02465708640688,"Insignificant"
"204","Cyprodinil","Apple",21,0.290957186981323,-1.02603174603174,5.2838714362196,5.29187617383036,"Insignificant"
"205","Cyprodinil","Avocado",21,0.290957186981323,2.96571428571429,6.72045444419557,6.72674988543234,"Insignificant"
