Compound,Matrix,Repeatability,Reproducibility
Bioresmethrin,Onion,0.00643169729999245,0.007555701140720905
Iprodione,Onion,0.013848858585709655,0.013889081332907113
Phosmet,Onion,0.003785655884545037,0.008390971135609956
Bifenthrin,Onion,0.0020281307368397814,0.0025844149589940293
Fenoxycarb,Onion,0.003902730830650244,NaN
Tebufenpyrad,Onion,0.0025422268703476194,0.0033492912236292994
Tetradifon,Onion,0.004554432517400553,0.0076556895831268726
Phenothrin,Onion,0.004044919211624803,0.004498450753723266
Azinphos-methyl,Onion,0.004037422956166984,0.008509983532762628
Pyriproxyfen,Onion,0.002898958214627924,0.003095327947413782
Cyhalothrin,Onion,0.003952993842325121,0.004623613011370175
Fenarimol,Onion,0.0027543820786014132,0.003092037062727242
Azinphos-ethyl,Onion,0.003161994297355381,0.003942416555783992
Bitertanol,Onion,0.0023734891602134617,0.002434056131583801
Permethrin,Onion,0.0029387001769759897,0.0033812271853443363
Cyfluthrin,Onion,0.0025779215203491665,0.002858482424068316
Cypermethrin,Onion,0.002665139145835854,0.0033550885305188355
Boscalid,Onion,0.002749950648907826,0.0029915158944820563
Fenvalerate,Onion,0.0037015770984639832,0.0043924064809484145
Pyraclostrobin,Onion,0.002552096243893485,0.004356759545981002
tau-Fluvalinate,Onion,0.0021685076427869474,0.004207636158321711
Difenoconazole,Onion,0.002315690441795322,0.0023981428472145405
Indoxacarb,Onion,0.0037993683685581237,0.0062882399687640735
Deltamethrin,Onion,0.0036383189908754648,0.0041260750402889205
Azoxystrobin,Onion,0.0022082051175716984,0.002523464711395794
Dimethomorph,Onion,0.0025310553668067555,0.002809111874562765
Dichlorvos,Avocado,0.004160944833179346,0.005233560948730951
Mevinphos,Avocado,0.0027981162881311403,0.004873097535637547
"3,4 Dichloroaniline",Avocado,0.003326108479747412,0.018030458555297092
Methacrifos,Avocado,0.0029418936240520463,NaN
THP,Avocado,0.003829362125173623,0.014227286660297737
2-Phenylphenol (raw),Avocado,0.0018212776781568259,0.002912591419253652
Diphenylamine,Avocado,0.0027704065371263434,0.0028968697039446966
Phorate-Oxon,Avocado,0.003949674187888953,0.0089732301421324
Ethoprophos,Avocado,0.002185472053181669,NaN
Phorate (raw),Avocado,0.0024607253092572183,0.0028798876820501982
alpha-BHC,Avocado,0.0030951409691720956,0.004332624575737627
Hexachlorobenzene,Avocado,0.0033123164818885205,0.009174588351995474
Dicloran,Avocado,0.004986084445257427,NaN
Dimethoate (raw),Avocado,0.00490043486894397,0.01062217760832764
Simazine,Avocado,0.0021092014963916958,0.0050692243700871725
beta-BHC,Avocado,0.003848172417184685,NaN
Quintozene,Avocado,0.005492499864533888,0.0070843629903888945
Lindane (gamma-BHC),Avocado,0.003813455813051356,0.0045876557972766045
Terbufos (raw),Avocado,0.001806061882607986,0.003662696397185975
Diazinon,Avocado,0.0029029291446825943,0.004897467796354212
Pyrimethanil,Avocado,0.005538222166174334,0.006395998828987397
Chlorothalonil,Avocado,0.008803231819973306,0.040170821322376336
Disulfoton (raw),Avocado,0.005889193897462093,0.009693346339902749
delta-BHC,Avocado,0.003508954531589417,0.008363206652367505
Pirimicarb (raw),Avocado,0.0034014006218727297,0.005456256753040683
Chlorpyrifos-methyl,Avocado,0.0034143684488880067,0.007262735120364187
Metribuzin,Avocado,0.0046821306708642405,0.004781637495969048
Vinclozolin,Avocado,0.006208016706531275,NaN
Parathion-methyl,Avocado,0.0025481258285444315,0.004769020243365783
Tolclofos-methyl,Avocado,0.002620472058527578,0.003740197801164619
Fipronyl-desulfonyl,Avocado,0.0033728658155230185,0.005979414687074301
Heptachlor (raw),Avocado,0.006947363494435093,0.008328704115581113
Metalaxyl,Avocado,0.0037793568361876194,0.0049356148429097494
Fenthion-oxon,Avocado,0.0075855708891477535,NaN
Pirimiphos-methyl,Avocado,0.009172332621219408,0.010240683770219285
Fenitrothion,Avocado,0.018359893920224715,0.019929518461880825
Linuron (raw),Avocado,0.009709712736665873,0.010250402381350297
Malathion,Avocado,0.0030592548890523204,0.005472083045526883
"o,p-Dicofol",Avocado,0.004088946190937333,0.006924664878062287
Chlorpyrifos,Avocado,0.005536119923694192,NaN
Aldrin,Avocado,0.014286852014218893,0.014381960710471677
Fenthion (raw),Avocado,0.007323146929591189,0.07590523689281986
Chlorthal-dimethyl,Avocado,0.00533665402574274,0.005887175356099847
Phorate-sulfoxide,Avocado,0.001802881291816226,0.009039727792994024
Parathion (ethyl),Avocado,0.004018113748419535,0.004952189373583837
Triadimefon,Avocado,0.0035681247575882636,0.004810693445707326
Phorate-sulfone,Avocado,0.004260871808847186,0.007187640184968319
Dicofol (raw),Avocado,0.004958236293568214,0.024039513603351353
Pendimethalin,Avocado,0.006291572027039714,0.007260681013204634
Cyprodinil,Avocado,0.0045927730496633816,NaN
Fipronil-sulfide,Avocado,0.0022922649435500623,0.004137437094903767
Fipronil (raw),Avocado,0.007212074036278459,0.007351509285548793
Heptachlor-exo-epoxide,Avocado,0.006883067560878578,0.010150904453519878
Heptachlor-endo-epoxide,Avocado,0.02117488679904525,0.02137858603407453
Captan (raw),Avocado,0,0
Procymidone,Avocado,0.004239449088198665,0.004689756640481324
Trifloxystrobin Metabolite,Avocado,0.011183455360912566,NaN
Bromophos-ethyl,Avocado,0.006272170392182549,0.011619260531811925
Methidathion,Avocado,0.005548656207973759,0.015421876755215662
Chlordane-trans,Avocado,0.00783887777439506,0.008506586463753029
Paclobutrazol,Avocado,0.00309925682335989,0.00546810734707939
Chlordane-cis,Avocado,0.012767461059457431,0.013791074494552105
alpha-Endosulfan,Avocado,0.0263491488974321,NaN
Fenamiphos (raw),Avocado,0.011138469481080096,0.011800960787588617
Hexaconazole,Avocado,511.17189166787784,NaN
Prothiofos,Avocado,0.007364260865507011,NaN
Fludioxonil,Avocado,0.002937562562656955,0.004108849459100548
"p,p'-DDE",Avocado,0.0059807054847432544,NaN
Fipronil-sulfone,Avocado,0.004346383280274261,0.0064010254280554325
Dieldrin (raw),Avocado,0.01337761180551475,0.016724499138347053
Flusilazole,Avocado,0.0032919125284913186,NaN
Oxyfluorfen,Avocado,0.008719218373662801,NaN
Buprofezin,Avocado,0.005720229973731912,0.007044788709335699
Kresoxim-methyl,Avocado,0.004746542350565744,NaN
Fenthion-oxon-sulfone,Avocado,0,0
Chlorfenapyr,Avocado,0.014888175797303994,0.01497569970427602
Cyproconazole,Avocado,0.003379093989588959,NaN
Endrin,Avocado,0.010224141132865973,0.013787510911794669
beta-Endosulfan,Avocado,0.012631611611538801,0.01290250766640472
"p,p'-DDD",Avocado,0.004756512327726004,0.010095389582196735
"o,p'-DDT",Avocado,0.006884480649222842,NaN
Benalaxyl,Avocado,0.0059141625821090725,0.006892910658563535
Trifloxystrobin (raw),Avocado,0.004560612427545853,0.006566131405375088
Endosulfan sulfate,Avocado,0.009431707036324214,0.01473204469231364
Propiconazole,Avocado,0.0035261728882877053,0.0057868051881598895
"p,p'-DDT",Avocado,0.005029784147598042,0.005296892909036007
Tebuconazole,Avocado,0.004958572663291611,0.005557074182462184
Piperonyl butoxide,Avocado,0.008372265296231134,0.00943884061974234
Bioresmethrin,Avocado,0,0
Iprodione,Avocado,0.010299482303217271,0.018940805830539628
Phosmet,Avocado,0.005331030455201484,0.023844854405775953
Bifenthrin,Avocado,0.004332360238726137,0.006404677738869884
Fenoxycarb,Avocado,0.004926638958617871,0.0057212322955454056
