"","Compound","Matrix","n","u_ref","av_bias","sd_bias","UoB","Significance"
"153","Demeton-S methyl Sulfoxide","Spinach",21,0.290957186981323,2.35423349413179,8.1026330259181,8.10785532908394,"Insignificant"
"154","Demeton-S methyl Sulfoxide","Strawberry",21,0.290957186981323,0.0641398478088312,6.74654562913353,6.75281674641307,"Insignificant"
"155","Diazinon","Apple",21,0.290957186981323,0.723095816472658,6.72044170412378,6.72673715728378,"Insignificant"
"156","Diazinon","Avocado",21,0.290957186981323,4.62254530648049,4.38164294426257,4.3912926315223,"Insignificant"
"157","Diazinon","Carrot",21,0.290957186981323,-2.84623534091706,3.06639550896023,3.08016842104901,"Insignificant"
"158","Diazinon","Onion",21,0.290957186981323,-3.8070144490311,5.53090110301695,5.53854882582163,"Insignificant"
"159","Diazinon","Orange",19,0.305887645160749,1.14854921687119,4.08061967354804,4.09206844659389,"Insignificant"
"160","Diazinon","Spinach",14,0.356348322549899,-2.62458783889606,1.2947625766951,1.3429051556213,"Insignificant"
"161","Diazinon","Strawberry",21,0.290957186981323,-4.43609899787572,4.45147515954609,4.46097379287437,"Insignificant"
"162","Difenoconazole","Apple",20,0.298142396999972,3.93646017218486,6.53275442724538,6.53955421229789,"Insignificant"
"163","Difenoconazole","Avocado",21,0.290957186981323,2.60975646618409,6.95870475701576,6.96478484807462,"Insignificant"
"164","Difenoconazole","Carrot",19,0.305887645160749,0.154800204491683,5.50585420527036,5.51434472817535,"Insignificant"
"165","Difenoconazole","Onion",21,0.290957186981323,-0.607136299104839,4.78464572707562,4.7934842044466,"Insignificant"
"166","Difenoconazole","Orange",19,0.305887645160749,4.25519533523561,3.92329577016741,3.93520227582719,"Insignificant"
"167","Difenoconazole","Spinach",21,0.290957186981323,-0.13294617088556,8.72724049281449,8.73208925195322,"Insignificant"
"168","Difenoconazole","Strawberry",21,0.290957186981323,-0.419792018839273,5.36757849300669,5.37545858166948,"Insignificant"
"169","Dimethoate","Apple",20,0.298142396999972,0.450951492324409,4.25928668662552,4.26970865138996,"Insignificant"
"170","Dimethoate","Avocado",21,0.290957186981323,1.84878250827931,4.75329776056627,4.76219441909509,"Insignificant"
"171","Dimethoate","Carrot",19,0.305887645160749,-3.97908787613409,4.09266676505948,4.10408193159986,"Insignificant"
"172","Dimethoate","Onion",17,0.323380833381777,-2.63054770395477,2.92219956762507,2.94003834608103,"Insignificant"
"173","Dimethoate","Orange",21,0.290957186981323,1.58206361815107,6.66775294210891,6.67409809499816,"Insignificant"
"174","Dimethoate","Spinach",20,0.298142396999972,2.26998449878943,4.95852509944866,4.96748025167199,"Insignificant"
"175","Dimethoate","Strawberry",21,0.290957186981323,-4.01327797918689,4.84985122419256,4.85857108432698,"Insignificant"
"176","Dimethomorph","Apple",21,0.290957186981323,-0.468762238763412,5.91674464626468,5.92389426760453,"Insignificant"
"177","Dimethomorph","Avocado",21,0.290957186981323,5.68381657139406,8.48728224919715,8.49226801638956,"Insignificant"
"178","Dimethomorph","Carrot",21,0.290957186981323,0.962830849785725,5.19614236393154,5.20428203990715,"Insignificant"
"179","Dimethomorph","Onion",21,0.290957186981323,0.575265000057904,6.47558474058662,6.48211800395321,"Insignificant"
"180","Dimethomorph","Orange",21,0.290957186981323,0.554139671766657,5.5896040547621,5.59717156907567,"Insignificant"
"181","Dimethomorph","Spinach",21,0.290957186981323,1.07835670861242,5.30035254453336,5.3083324293979,"Insignificant"
"182","Dimethomorph","Strawberry",21,0.290957186981323,-0.811567573083145,5.47613737180288,5.48386146793592,"Insignificant"
"183","Disulfoton Sulfone","Apple",21,0.290957186981323,0.782897390761446,5.69269998313174,5.70013062855618,"Insignificant"
