Compound,Matrix,n,Repeatability,Reproducibility,u_ref,av_bias,sd_bias,UoB,Significance,MU,pct_MU
Demeton S-methyl,Carrot,20,0.002373350401884939,0.003457338663147988,0.298142396999972,1.86035778261748,4.23071509577294,4.24120727039954,Insignificant,0.009396031104960966,12.528041473281288
Demeton S-methyl,Onion,21,0.003118641221157054,0.0047877434631293375,0.290957186981323,0.337292971851966,5.80628290320162,5.81356837378451,Insignificant,0.012951235410471567,17.268313880628757
Demeton S-methyl,Orange,21,0.003992089619252835,0.006154838097061983,0.290957186981323,1.25394125903114,7.45933643270717,7.46500878103761,Insignificant,0.01664068596036118,22.187581280481574
Demeton S-methyl,Spinach,21,0.002339671990110511,0.0028137226208852163,0.290957186981323,-0.0687892241116898,3.57376713722255,3.58559167164192,Insignificant,0.007784291369775251,10.379055159700336
Demeton S-methyl,Strawberry,21,0.0026546708252936095,0.0026546708252936095,0.290957186981323,-1.30899478218356,3.52719247931928,3.53917262517987,Insignificant,0.007508130940654337,10.010841254205783
Demeton-S,Apple,19,0.0034725324226358217,0.0034725324226358217,0.305887645160749,-0.206121742375127,4.52480227636844,4.53512986492019,Insignificant,0.009721655322594648,12.962207096792865
Demeton-S,Avocado,21,0.0030450321629902754,0.0035657953003370704,0.290957186981323,7.33995780349293,4.55721036479852,4.5664890664145,Insignificant,0.00988829787584349,13.184397167791321
Demeton-S,Carrot,21,0.0037034363568796327,0.00549683762151037,0.290957186981323,3.74925537286823,6.70194518242956,6.70825799391667,Insignificant,0.014903440116400565,19.871253488534087
Demeton-S,Onion,21,0.0034190534839887987,0.0041019587772535004,0.290957186981323,-0.305349159030433,5.21284295820129,5.22095659736076,Insignificant,0.011341765108310038,15.122353477746717
Demeton-S,Orange,21,0.0031133307852156218,0.004714085159061053,0.290957186981323,-1.56200765232082,5.72924936627124,5.7366326695698,Insignificant,0.012764620750929642,17.019494334572858
Demeton-S,Spinach,20,0.002881156354508695,0.003237284923315786,0.298142396999972,-2.13209862954943,4.18040952303114,4.19102763879437,Insignificant,0.009024447806069464,12.032597074759286
Demeton-S,Strawberry,20,0.002824679359752287,0.002824679359752287,0.298142396999972,-2.99432691734698,3.58865975311929,3.601023148016,Insignificant,0.007816126361240154,10.421501814986872
Demeton-S methyl Sulfone,Apple,20,0.006556219655967556,0.006556219655967556,0.298142396999972,2.23103825612976,8.38135926693151,8.38666036335487,Insignificant,0.01817119222346964,24.228256297959522
Demeton-S methyl Sulfone,Avocado,21,0.006032049047382116,0.008382257907882527,0.290957186981323,9.72358692662473,10.3364948330973,10.3405890315447,Insignificant,0.02283936292796862,30.45248390395816
Demeton-S methyl Sulfone,Carrot,20,0.004885731550682264,0.007290405194670539,0.298142396999972,-3.88875044297179,8.88619255031758,8.89119266072941,Insignificant,0.019760313059334,26.347084079112
Demeton-S methyl Sulfone,Onion,21,0.007091960749969367,0.007158828282708613,0.290957186981323,1.9655185073472,9.51844505047593,9.52289096144578,Insignificant,0.020224676934831442,26.966235913108587
Demeton-S methyl Sulfone,Orange,19,0.005494454595373329,0.005494454595373329,0.305887645160749,0.327498039247976,7.07798464503192,7.08459129991065,Insignificant,0.015286819533431672,20.382426044575563
Demeton-S methyl Sulfone,Spinach,21,0.006149213751304593,0.007272897333610342,0.290957186981323,1.82866226723421,9.27317506363242,9.2777385092182,Insignificant,0.02013087464948217,26.84116619930956
Demeton-S methyl Sulfone,Strawberry,21,0.007306818713674956,0.007425212222527013,0.290957186981323,-2.11017558844336,9.85319111300594,9.8574860483835,Insignificant,0.020956327836358347,27.941770448477797
Demeton-S methyl Sulfoxide,Apple,21,0.005159368479683144,0.006035004080588791,0.290957186981323,-1.93741066591816,7.7149916868567,7.72047620376646,Insignificant,0.01672716475796101,22.30288634394801
Demeton-S methyl Sulfoxide,Avocado,20,0.006222517039128076,0.006222517039128076,0.298142396999972,4.199098082596,8.18402156465925,8.18945040034412,Insignificant,0.017486561794511635,23.315415726015512
Demeton-S methyl Sulfoxide,Carrot,21,0.008302615443244675,0.009074953046680495,0.290957186981323,5.01951603509686,11.8004420195283,11.8040284623897,Insignificant,0.025355927099296946,33.807902799062596
Demeton-S methyl Sulfoxide,Onion,21,0.003930311827924942,0.006259996553010199,0.290957186981323,0.178684631148283,7.55018705993526,7.55579120441201,Insignificant,0.016887944931379472,22.517259908505963
Demeton-S methyl Sulfoxide,Orange,21,0.0048387579332127145,0.0048387579332127145,0.290957186981323,2.87024817504112,6.18094618088776,6.18779054070894,Insignificant,0.013409101567227081,17.87880208963611
Demeton-S methyl Sulfoxide,Spinach,21,0.0061982762687472015,0.0061982762687472015,0.290957186981323,2.35423349413179,8.1026330259181,8.10785532908394,Insignificant,0.017366159057169414,23.154878742892553
